departamento|municipio|codigo_municipio
antioquia|medellin|5001
antioquia|abejorral|5002
antioquia|abriaqui|5004
antioquia|alejandria|5021
antioquia|amaga|5030
antioquia|amalfi|5031
antioquia|andes|5034
antioquia|angelopolis|5036
antioquia|angostura|5038
antioquia|anori|5040
antioquia|santafe de antioquia|5042
antioquia|anza|5044
antioquia|apartado|5045
antioquia|arboletes|5051
antioquia|argelia|5055
antioquia|armenia|5059
antioquia|barbosa|5079
antioquia|belmira|5086
antioquia|bello|5088
antioquia|betania|5091
antioquia|betulia|5093
antioquia|ciudad bolivar|5101
antioquia|briceno|5107
antioquia|buritica|5113
antioquia|caceres|5120
antioquia|caicedo|5125
antioquia|caldas|5129
antioquia|campamento|5134
antioquia|canasgordas|5138
antioquia|caracoli|5142
antioquia|caramanta|5145
antioquia|carepa|5147
antioquia|el carmen de viboral|5148
antioquia|carolina|5150
antioquia|caucasia|5154
antioquia|chigorodo|5172
antioquia|cisneros|5190
antioquia|cocorna|5197
antioquia|concepcion|5206
antioquia|concordia|5209
antioquia|copacabana|5212
antioquia|dabeiba|5234
antioquia|don matias|5237
antioquia|ebejico|5240
antioquia|el bagre|5250
antioquia|entrerrios|5264
antioquia|envigado|5266
antioquia|fredonia|5282
antioquia|frontino|5284
antioquia|giraldo|5306
antioquia|girardota|5308
antioquia|gomez plata|5310
antioquia|granada|5313
antioquia|guadalupe|5315
antioquia|guarne|5318
antioquia|guatape|5321
antioquia|heliconia|5347
antioquia|hispania|5353
antioquia|itagui|5360
antioquia|ituango|5361
antioquia|jardin|5364
antioquia|jerico|5368
antioquia|la ceja|5376
antioquia|la estrella|5380
antioquia|la pintada|5390
antioquia|la union|5400
antioquia|liborina|5411
antioquia|maceo|5425
antioquia|marinilla|5440
antioquia|montebello|5467
antioquia|murindo|5475
antioquia|mutata|5480
antioquia|narino|5483
antioquia|necocli|5490
antioquia|nechi|5495
antioquia|olaya|5501
antioquia|penol|5541
antioquia|peque|5543
antioquia|pueblorrico|5576
antioquia|puerto berrio|5579
antioquia|puerto nare|5585
antioquia|puerto triunfo|5591
antioquia|remedios|5604
antioquia|retiro|5607
antioquia|rionegro|5615
antioquia|sabanalarga|5628
antioquia|sabaneta|5631
antioquia|salgar|5642
antioquia|san andres|5647
antioquia|san carlos|5649
antioquia|san francisco|5652
antioquia|san jeronimo|5656
antioquia|san jose de la montana|5658
antioquia|san juan de uraba|5659
antioquia|san luis|5660
antioquia|san pedro|5664
antioquia|san pedro de uraba|5665
antioquia|san rafael|5667
antioquia|san roque|5670
antioquia|san vicente|5674
antioquia|santa barbara|5679
antioquia|santa rosa de osos|5686
antioquia|santo domingo|5690
antioquia|el santuario|5697
antioquia|segovia|5736
antioquia|sonson|5756
antioquia|sopetran|5761
antioquia|tamesis|5789
antioquia|taraza|5790
antioquia|tarso|5792
antioquia|titiribi|5809
antioquia|toledo|5819
antioquia|turbo|5837
antioquia|uramita|5842
antioquia|urrao|5847
antioquia|valdivia|5854
antioquia|valparaiso|5856
antioquia|vegachi|5858
antioquia|venecia|5861
antioquia|vigia del fuerte|5873
antioquia|yali|5885
antioquia|yarumal|5887
antioquia|yolombo|5890
antioquia|yondo|5893
