departamento|municipio|codigo_municipio
antioquia|medellín|5001
antioquia|abejorral|5002
antioquia|abriaqui|5004
antioquia|alejandría|5021
antioquia|amaga|5030
antioquia|amalfi|5031
antioquia|andes|5034
antioquia|angelopolis|5036
antioquia|angostura|5038
antioquia|anori|5040
antioquia|santafe de antioquia|5042
antioquia|anza|5044
antioquia|apartadó|5045
antioquia|arboletes|5051
antioquia|argelia|5055
antioquia|armenia|5059
antioquia|barbosa|5079
antioquia|belmira|5086
antioquia|bello|5088
antioquia|betania|5091
antioquia|betulia|5093
antioquia|ciudad bolivar|5101
antioquia|briceño|5107
antioquia|buritica|5113
antioquia|caceres|5120
antioquia|caicedo|5125
antioquia|caldas|5129
antioquia|campamento|5134
antioquia|cañasgordas|5138
antioquia|caracoli|5142
antioquia|caramanta|5145
antioquia|carepa|5147
antioquia|el carmen de viboral|5148
antioquia|carolina|5150
antioquia|caucasia|5154
antioquia|chigorodo|5172
antioquia|cisneros|5190
antioquia|cocorna|5197
antioquia|concepcion|5206
antioquia|concordia|5209
antioquia|copacabana|5212
antioquia|dabeiba|5234
antioquia|don matias|5237
antioquia|ebejico|5240
antioquia|el bagre|5250
antioquia|entrerrios|5264
antioquia|envigado|5266
antioquia|fredonia|5282
antioquia|frontino|5284
antioquia|giraldo|5306
antioquia|girardota|5308
antioquia|gomez plata|5310
antioquia|granada|5313
antioquia|guadalupe|5315
antioquia|guarne|5318
antioquia|guatape|5321
antioquia|heliconia|5347
antioquia|hispania|5353
antioquia|itagüi|5360
antioquia|ituango|5361
antioquia|jardin|5364
antioquia|jerico|5368
antioquia|la ceja|5376
antioquia|la estrella|5380
antioquia|la pintada|5390
antioquia|la union|5400
antioquia|liborina|5411
antioquia|maceo|5425
antioquia|marinilla|5440
antioquia|montebello|5467
antioquia|murindo|5475
antioquia|mutata|5480
antioquia|nariño|5483
antioquia|necocli|5490
antioquia|nechi|5495
antioquia|olaya|5501
antioquia|peñol|5541
antioquia|peque|5543
antioquia|pueblorrico|5576
antioquia|puerto berrio|5579
antioquia|puerto nare|5585
antioquia|puerto triunfo|5591
antioquia|remedios|5604
antioquia|retiro|5607
antioquia|rionegro|5615
antioquia|sabanalarga|5628
antioquia|sabaneta|5631
antioquia|salgar|5642
antioquia|san andres|5647
antioquia|san carlos|5649
antioquia|san francisco|5652
antioquia|san jeronimo|5656
antioquia|san jose de la montaña|5658
antioquia|san juan de uraba|5659
antioquia|san luis|5660
antioquia|san pedro|5664
antioquia|san pedro de uraba|5665
antioquia|san rafael|5667
antioquia|san roque|5670
antioquia|san vicente|5674
antioquia|santa barbara|5679
antioquia|santa rosa de osos|5686
antioquia|santo domingo|5690
antioquia|el santuario|5697
antioquia|segovia|5736
antioquia|sonson|5756
antioquia|sopetran|5761
antioquia|tamesis|5789
antioquia|taraza|5790
antioquia|tarso|5792
antioquia|titiribi|5809
antioquia|toledo|5819
antioquia|turbo|5837
antioquia|uramita|5842
antioquia|urrao|5847
antioquia|valdivia|5854
antioquia|valparaiso|5856
antioquia|vegachi|5858
antioquia|venecia|5861
antioquia|vigia del fuerte|5873
antioquia|yali|5885
antioquia|yarumal|5887
antioquia|yolombo|5890
antioquia|yondo|5893
antioquia|zaragoza|5895
atlantico|barranquilla|8001
atlantico|baranoa|8078
atlantico|campo de la cruz|8137
atlantico|candelaria|8141
atlantico|galapa|8296
atlantico|juan de acosta|8372
atlantico|luruaco|8421
atlantico|malambo|8433
atlantico|manatí|8436
atlantico|palmar de varela|8520
atlantico|piojó|8549
atlantico|polonuevo|8558
atlantico|ponedera|8560
atlantico|puerto colombia|8573
atlantico|repelón|8606
atlantico|sabanagrande|8634
atlantico|sabanalarga|8638
atlantico|santa lucía|8675
atlantico|santo tomas|8685
atlantico|soledad|8758
atlantico|suan|8770
atlantico|tubará|8832
atlantico|usiacurí|8849
bogota|bogotá|11001
bolivar|cartagena|13001
bolivar|achí|13006
bolivar|altos del rosario|13030
bolivar|arenal|13042
bolivar|arjona|13052
bolivar|arroyohondo|13062
bolivar|barranco de loba|13074
bolivar|calamar|13140
bolivar|cantagallo|13160
bolivar|cicuco|13188
bolivar|córdoba|13212
bolivar|clemencia|13222
bolivar|el carmen de bolívar|13244
bolivar|el guamo|13248
bolivar|el peñón|13268
bolivar|hatillo de loba|13300
bolivar|magangué|13430
bolivar|mahates|13433
bolivar|margarita|13440
bolivar|maría la baja|13442
bolivar|montecristo|13458
bolivar|mompós|13468
bolivar|morales|13473
bolivar|norosi|13490
bolivar|pinillos|13549
bolivar|regidor|13580
bolivar|río viejo|13600
bolivar|san cristobal|13620
bolivar|san estanislao|13647
bolivar|san fernando|13650
bolivar|san jacinto|13654
bolivar|san jacinto del cauca|13655
bolivar|san juan nepomuceno|13657
bolivar|san martín de loba|13667
bolivar|san pablo|13670
bolivar|santa catalina|13673
bolivar|santa rosa|13683
bolivar|santa rosa del sur|13688
bolivar|simití|13744
bolivar|soplaviento|13760
bolivar|talaigua nuevo|13780
bolivar|tiquisio|13810
bolivar|turbaco|13836
bolivar|turbaná|13838
bolivar|villanueva|13873
bolivar|zambrano|13894
boyaca|tunja|15001
boyaca|almeida|15022
boyaca|aquitania|15047
boyaca|arcabuco|15051
boyaca|belén|15087
boyacá|berbeo|15090
boyaca|betéitiva|15092
boyaca|boavita|15097
boyaca|boyacá|15104
boyaca|briceño|15106
boyaca|buenavista|15109
boyaca|busbanzá|15114
boyaca|caldas|15131
boyaca|campohermoso|15135
boyaca|cerinza|15162
boyaca|chinavita|15172
boyaca|chiquinquirá|15176
boyaca|chiscas|15180
boyaca|chita|15183
boyaca|chitaraque|15185
boyaca|chivatá|15187
boyaca|cienega|15189
boyaca|combita|15204
boyaca|coper|15212
boyaca|corrales|15215
boyaca|covarachía|15218
boyaca|cubará|15223
boyaca|cucaita|15224
boyaca|cuitiiva|15226
boyaca|chiquiza|15232
boyaca|chivor|15236
boyaca|duitama|15238
boyaca|el cocuy|15244
boyaca|el espino|15248
boyaca|firavitoba|15272
boyaca|floresta|15276
boyaca|gachantivá|15293
boyaca|gameza|15296
boyaca|garagoa|15299
boyaca|guacamayas|15317
boyaca|guateque|15322
boyaca|guayatá|15325
boyaca|güicán|15332
boyaca|iza|15362
boyaca|jenesano|15367
boyaca|jericó|15368
boyaca|labranzagrande|15377
boyaca|la capilla|15380
boyaca|la victoria|15401
boyaca|la uvita|15403
