cluster,year_week,year,week,num_hechos,date_year_week,year_month
0,2012 01,2012,01,10,2012-01-08,2012-1
0,2012 02,2012,02,12,2012-01-15,2012-1
0,2012 03,2012,03,12,2012-01-22,2012-1
0,2012 04,2012,04,7,2012-01-29,2012-1
0,2012 05,2012,05,12,2012-02-05,2012-2
0,2012 06,2012,06,10,2012-02-12,2012-2
0,2012 07,2012,07,10,2012-02-19,2012-2
0,2012 08,2012,08,10,2012-02-26,2012-2
0,2012 09,2012,09,5,2012-03-04,2012-3
0,2012 10,2012,10,7,2012-03-11,2012-3
0,2012 11,2012,11,9,2012-03-18,2012-3
0,2012 12,2012,12,6,2012-03-25,2012-3
0,2012 13,2012,13,7,2012-04-01,2012-4
0,2012 14,2012,14,3,2012-04-08,2012-4
0,2012 15,2012,15,15,2012-04-15,2012-4
0,2012 16,2012,16,16,2012-04-22,2012-4
0,2012 17,2012,17,8,2012-04-29,2012-4
0,2012 18,2012,18,12,2012-05-06,2012-5
0,2012 19,2012,19,10,2012-05-13,2012-5
0,2012 20,2012,20,11,2012-05-20,2012-5
0,2012 21,2012,21,2,2012-05-27,2012-5
0,2012 22,2012,22,12,2012-06-03,2012-6
0,2012 23,2012,23,12,2012-06-10,2012-6
0,2012 24,2012,24,11,2012-06-17,2012-6
0,2012 25,2012,25,7,2012-06-24,2012-6
0,2012 26,2012,26,3,2012-07-01,2012-7
0,2012 27,2012,27,11,2012-07-08,2012-7
0,2012 28,2012,28,7,2012-07-15,2012-7
0,2012 29,2012,29,9,2012-07-22,2012-7
0,2012 30,2012,30,11,2012-07-29,2012-7
0,2012 31,2012,31,16,2012-08-05,2012-8
0,2012 32,2012,32,7,2012-08-12,2012-8
0,2012 33,2012,33,7,2012-08-19,2012-8
0,2012 34,2012,34,7,2012-08-26,2012-8
0,2012 35,2012,35,10,2012-09-02,2012-9
0,2012 36,2012,36,8,2012-09-09,2012-9
0,2012 37,2012,37,5,2012-09-16,2012-9
0,2012 38,2012,38,9,2012-09-23,2012-9
0,2012 39,2012,39,4,2012-09-30,2012-9
0,2012 40,2012,40,1,2012-10-07,2012-10
0,2012 41,2012,41,2,2012-10-14,2012-10
0,2012 42,2012,42,2,2012-10-21,2012-10
0,2012 43,2012,43,2,2012-10-28,2012-10
0,2012 44,2012,44,2,2012-11-04,2012-11
0,2012 45,2012,45,1,2012-11-11,2012-11
0,2012 47,2012,47,4,2012-11-25,2012-11
0,2012 49,2012,49,2,2012-12-09,2012-12
0,2012 50,2012,50,3,2012-12-16,2012-12
0,2012 51,2012,51,4,2012-12-23,2012-12
0,2013 01,2013,01,6,2013-01-13,2013-1
0,2013 02,2013,02,5,2013-01-20,2013-1
0,2013 03,2013,03,2,2013-01-27,2013-1
0,2013 04,2013,04,3,2013-02-03,2013-2
0,2013 06,2013,06,1,2013-02-17,2013-2
0,2013 09,2013,09,4,2013-03-10,2013-3
0,2013 10,2013,10,4,2013-03-17,2013-3
0,2013 11,2013,11,4,2013-03-24,2013-3
